country,iso2,iso3,stimulus,judgment_mean,judgment_stdev,sample_size
Canada,CA,CAN,yesline_e,1.25,0.163663418,8
United States,US,USA,noline_c,3.882352941,0.362612588,17
Canada,CA,CAN,new_maybe_5,3.833333333,0.344509606,12
Israel,IL,ISR,yesline_d_bad,2.5,0.358870281,12
United States,US,USA,new_no_2,4.615384615,0.212990355,13
United Kingdom,GB,GBR,new_yes_8,2.333333333,0.376050717,12
Turkey,TR,TUR,new_yes_9esque,2.692307692,0.414243447,13
United States,US,USA,new_maybe_5_bad,1.888888889,0.266775577,18
Canada,CA,CAN,new_yes_10_bad,1.375,0.26305214,8
United Kingdom,GB,GBR,new_yes_7esque,1.666666667,0.440958552,9
United Kingdom,GB,GBR,new_maybe_3_bad,3.3,0.422952585,10
Canada,CA,CAN,new_maybe_6,4.166666667,0.440958552,12
Ukraine,UA,UKR,noline_c,4.444444444,0.258479999,18
India,IN,IND,noline_b,4,0.516397779,10
Spain,ES,ESP,new_maybe_4_bad,2,0.440958552,9
Canada,CA,CAN,noline_d,4.272727273,0.383545875,11
Spain,ES,ESP,noline_b,4.066666667,0.330463839,15
United States,US,USA,yesline_b_badder,2.5,0.388714421,14
United States,US,USA,new_maybe_6,3.083333333,0.434468211,12
Israel,IL,ISR,new_no_2,3.75,0.371830036,12
United States,US,USA,yesline_e,1.5,0.182574186,16
United Kingdom,GB,GBR,yesline_c_bad,3.818181818,0.422507274,11
Canada,CA,CAN,new_yes_10,2,0.486172435,11
Turkey,TR,TUR,new_maybe_4_bad,2.166666667,0.654047229,6
Israel,IL,ISR,new_maybe_5,2.777777778,0.400616808,9
Ukraine,UA,UKR,new_no_1,4,0.43852901,13
United States,US,USA,new_maybe_2,3.5,0.43519414,12
United States,US,USA,new_no_1,3.266666667,0.452155332,15
India,IN,IND,new_yes_8,3.875,0.548943791,8
Canada,CA,CAN,maybe_4,4,0.471404521,10
Ukraine,UA,UKR,new_maybe_4,3,0.40824829,13
Israel,IL,ISR,new_yes_10,1.625,0.375,8
Ukraine,UA,UKR,new_yes_9esque,3.875,0.295048422,8
India,IN,IND,new_yes_7esque,2.444444444,0.412011027,9
Canada,CA,CAN,new_maybe_4,3.4,0.498887652,10
India,IN,IND,yesline_e,1.777777778,0.464811126,9
Turkey,TR,TUR,maybe_5,3.444444444,0.580017028,9
India,IN,IND,new_maybe_3_bad,4.25,0.411877236,8
Turkey,TR,TUR,new_maybe_3_bad,2.25,0.350864733,12
Turkey,TR,TUR,noline_c,3.363636364,0.543937284,11
India,IN,IND,yesline_f,3.4,0.81240384,5
United States,US,USA,new_yes_10,2.3,0.356148993,20
Israel,IL,ISR,yesline_b_badder,2.333333333,0.449466575,12
Turkey,TR,TUR,new_maybe_5,2.375,0.532430411,8
Spain,ES,ESP,new_maybe_3_badder,1.909090909,0.368153759,11
Canada,CA,CAN,new_yes_9esque,4,0.5,9
United States,US,USA,new_maybe_4,3.222222222,0.521157307,9
Canada,CA,CAN,new_maybe_3_bad,3.3,0.472581563,10
Israel,IL,ISR,new_maybe_2,3.75,0.371830036,12
Spain,ES,ESP,new_yes_8,2.538461538,0.461538462,13
India,IN,IND,new_yes_10_bad,2.333333333,0.449466575,12
Ukraine,UA,UKR,yesline_d,3.25,0.41056133,12
Canada,CA,CAN,new_yes_7,2.777777778,0.464811126,9
Israel,IL,ISR,yesline_f,3.333333333,0.440958552,9
Spain,ES,ESP,new_no_3,3.6,0.289498746,15
Israel,IL,ISR,yesline_e,1.125,0.125,8
Canada,CA,CAN,yesline_f,4.5,0.5,8
United States,US,USA,maybe_5,3.25,0.403112887,16
Ukraine,UA,UKR,yesline_d_badder,1.714285714,0.359515925,7
Ukraine,UA,UKR,new_maybe_2,3.076923077,0.473144669,13
Spain,ES,ESP,new_maybe_4,2.888888889,0.388888889,9
United Kingdom,GB,GBR,yesline_d,2.5,0.484611685,12
Israel,IL,ISR,new_no_1,3.125,0.515388203,8
India,IN,IND,maybe_6,4.272727273,0.272727273,11
United Kingdom,GB,GBR,new_yes_10mod,2.428571429,0.611677742,7
Spain,ES,ESP,yesline_e,1.75,0.32856437,12
Spain,ES,ESP,yesline_c,3.666666667,0.43228311,12
India,IN,IND,new_maybe_2,3.636363636,0.491245676,11
United States,US,USA,yesline_d_bad,2.4375,0.397583849,16
Turkey,TR,TUR,yesline_e,1.142857143,0.142857143,7
Turkey,TR,TUR,yesline_c,4.083333333,0.357989617,12
Israel,IL,ISR,new_maybe_4_bad,2.285714286,0.354384956,14
India,IN,IND,yesline_b_bad,2.7,0.395811403,10
Canada,CA,CAN,new_yes_9,3.545454545,0.511035248,11
United Kingdom,GB,GBR,yesline_b_badder,2.333333333,0.449466575,12
India,IN,IND,new_maybe_4_bad,1.777777778,0.464811126,9
India,IN,IND,yesline_d_bad,3.5,0.46291005,8
Spain,ES,ESP,noline_a,4.090909091,0.475863721,11
Spain,ES,ESP,new_maybe_1,3.2,0.533333333,10
Spain,ES,ESP,new_yes_7esque,2.636363636,0.576395181,11
India,IN,IND,new_maybe_1,2.666666667,0.76011695,6
United States,US,USA,new_yes_9,2.933333333,0.419372169,15
United Kingdom,GB,GBR,new_no_3,4.692307692,0.208308677,13
United Kingdom,GB,GBR,maybe_4,4.0625,0.295363477,16
Spain,ES,ESP,noline_c,3.545454545,0.43408496,11
United States,US,USA,noline_b,3.846153846,0.504418348,13
India,IN,IND,new_yes_10mod,2.5,0.619139187,6
India,IN,IND,new_no_3,4.666666667,0.210818511,6
Spain,ES,ESP,new_no_1,3.647058824,0.373193457,17
Spain,ES,ESP,new_yes_10,1.909090909,0.435984684,11
Canada,CA,CAN,new_maybe_4_bad,1.8,0.4163332,10
Canada,CA,CAN,new_maybe_1,3.5,0.619139187,10
Turkey,TR,TUR,new_no_1,3.333333333,0.666666667,9
Ukraine,UA,UKR,yesline_b,4.307692308,0.364878192,13
United Kingdom,GB,GBR,new_maybe_5,2.8,0.4163332,10
United States,US,USA,new_yes_7esque,2,0.365148372,10
United States,US,USA,yesline_c,3,0.420084025,17
Ukraine,UA,UKR,new_maybe_5,3.090909091,0.609836721,11
United States,US,USA,new_maybe_5,3,0.34299717,17
Spain,ES,ESP,new_maybe_6,3.133333333,0.376280881,15
India,IN,IND,new_maybe_5,3.333333333,0.623609564,9
Ukraine,UA,UKR,noline_a,4.466666667,0.321701824,15
United Kingdom,GB,GBR,new_maybe_4,2.857142857,0.4174378,14
India,IN,IND,new_maybe_5_bad,2.307692308,0.498518515,13
India,IN,IND,yesline_b_badder,1.8,0.249443826,10
Canada,CA,CAN,new_maybe_2,3.6,0.498887652,10
Canada,CA,CAN,new_yes_10mod,2.181818182,0.463547229,11
Spain,ES,ESP,yesline_d_badder,1.166666667,0.166666667,12
Israel,IL,ISR,yesline_c_bad,3.571428571,0.685118789,7
Ukraine,UA,UKR,yesline_c,4.181818182,0.352089395,11
Canada,CA,CAN,new_no_3,4.545454545,0.312282982,11
Israel,IL,ISR,maybe_4,3.8,0.427617987,15
Ukraine,UA,UKR,yesline_b_badder,1.461538462,0.215293021,13
Canada,CA,CAN,yesline_b,4.285714286,0.473803541,7
United Kingdom,GB,GBR,new_yes_10,1,0,7
United Kingdom,GB,GBR,new_maybe_5_bad,1.833333333,0.344509606,12
Spain,ES,ESP,new_yes_7,2,0.40824829,13
Ukraine,UA,UKR,yesline_c_badder,2.090909091,0.435984684,11
Spain,ES,ESP,yesline_c_bad,2.727272727,0.359062139,11
Canada,CA,CAN,noline_c,4.230769231,0.323321031,13
United Kingdom,GB,GBR,maybe_6,3.666666667,0.600925213,9
Ukraine,UA,UKR,yesline_c_bad,3.357142857,0.427195594,14
Turkey,TR,TUR,yesline_f,4,0.5,9
Ukraine,UA,UKR,new_yes_7,2,0.440958552,9
India,IN,IND,noline_a,3.857142857,0.467129919,14
Israel,IL,ISR,new_maybe_1,2.923076923,0.445224496,13
Turkey,TR,TUR,new_yes_10_bad,1.416666667,0.228908257,12
Israel,IL,ISR,new_maybe_3_bad,1.8,0.359010987,10
United Kingdom,GB,GBR,noline_d,4.166666667,0.405143696,12
Turkey,TR,TUR,new_maybe_5_bad,1,0,9
Spain,ES,ESP,maybe_5,4.4,0.221108319,10
Turkey,TR,TUR,yesline_d,2,0.577350269,7
Israel,IL,ISR,new_yes_9esque,2.777777778,0.277777778,9
United States,US,USA,new_maybe_3,3.166666667,0.423429958,12
United Kingdom,GB,GBR,yesline_e,1.636363636,0.278721995,11
Canada,CA,CAN,maybe_6,4.833333333,0.121267813,18
Israel,IL,ISR,maybe_5,3.142857143,0.633530224,7
Israel,IL,ISR,maybe_6,3.857142857,0.231030726,14
India,IN,IND,yesline_d_badder,2.444444444,0.555555556,9
Ukraine,UA,UKR,new_maybe_3_bad,3.117647059,0.401122991,17
Turkey,TR,TUR,new_yes_9,1.909090909,0.414609245,11
India,IN,IND,new_yes_7,2.222222222,0.493788579,9
Israel,IL,ISR,yesline_b_bad,3.571428571,0.271630925,14
Israel,IL,ISR,yesline_c,4.111111111,0.254230723,18
Canada,CA,CAN,yesline_c_bad,3.666666667,0.600925213,9
United Kingdom,GB,GBR,new_yes_10_bad,1.142857143,0.142857143,7
Turkey,TR,TUR,new_yes_8,1.777777778,0.277777778,9
Canada,CA,CAN,yesline_b_badder,2.1,0.37859389,10
Turkey,TR,TUR,new_maybe_6,3.4,0.81240384,5
Israel,IL,ISR,noline_c,3.545454545,0.454545455,11
United States,US,USA,new_yes_7,1.692307692,0.327864406,13
United Kingdom,GB,GBR,new_maybe_3,2.818181818,0.501238136,11
Spain,ES,ESP,yesline_f,3.2,0.499523583,15
India,IN,IND,yesline_c,4.4,0.244948974,5
Spain,ES,ESP,new_yes_10_bad,1.071428571,0.071428571,14
Israel,IL,ISR,yesline_d_badder,2.222222222,0.464811126,9
Ukraine,UA,UKR,maybe_5,3.666666667,0.557773351,6
Turkey,TR,TUR,yesline_d_bad,1.5,0.261116484,12
Canada,CA,CAN,maybe_5,4.1,0.433333333,10
India,IN,IND,new_maybe_4,4.666666667,0.333333333,3
Ukraine,UA,UKR,new_maybe_3_badder,1.75,0.445941293,12
Canada,CA,CAN,new_maybe_3_badder,2,0.40824829,13
Turkey,TR,TUR,yesline_b_badder,1.692307692,0.327864406,13
United Kingdom,GB,GBR,yesline_d_badder,1.636363636,0.387831437,11
Israel,IL,ISR,new_maybe_4,2.4,0.54160256,10
United States,US,USA,yesline_c_badder,2.538461538,0.461538462,13
Turkey,TR,TUR,new_yes_7esque,1.142857143,0.097052317,14
India,IN,IND,new_maybe_3,4,0.471404521,9
United States,US,USA,yesline_b_bad,3.0625,0.295363477,16
United States,US,USA,new_maybe_3_badder,2.153846154,0.336767321,13
Turkey,TR,TUR,new_yes_7,1,0,10
Spain,ES,ESP,new_no_2,4.777777778,0.146986184,9
India,IN,IND,new_yes_9,3.928571429,0.412234406,14
Turkey,TR,TUR,new_no_3,3.333333333,0.666666667,9
Ukraine,UA,UKR,new_yes_10,1.727272727,0.487869377,11
Canada,CA,CAN,new_no_1,4.666666667,0.210818511,6
Turkey,TR,TUR,maybe_6,3.909090909,0.475863721,11
Canada,CA,CAN,new_yes_7esque,2.6,0.465985898,15
United Kingdom,GB,GBR,new_no_2,4.571428571,0.250588006,14
United Kingdom,GB,GBR,yesline_b_bad,3.266666667,0.383798889,15
Ukraine,UA,UKR,new_yes_8,1.375,0.182981264,8
United States,US,USA,maybe_6,3,0.486172435,11
Ukraine,UA,UKR,new_yes_7esque,1.733333333,0.358125632,15
United Kingdom,GB,GBR,new_maybe_3_badder,1.333333333,0.188025358,12
United States,US,USA,new_yes_8,2,0.301511345,11
Spain,ES,ESP,new_maybe_2,4.181818182,0.325246251,11
Israel,IL,ISR,new_yes_10_bad,1.555555556,0.293972368,9
Ukraine,UA,UKR,new_yes_10_bad,1.583333333,0.2599048,12
Israel,IL,ISR,yesline_b,3.857142857,0.375882008,14
India,IN,IND,yesline_c_bad,3.333333333,0.527046277,9
Canada,CA,CAN,yesline_c,3.461538462,0.432870334,13
India,IN,IND,new_no_1,3.75,0.25,4
Turkey,TR,TUR,new_maybe_3,3.111111111,0.587944736,9
Ukraine,UA,UKR,new_maybe_6,3.294117647,0.418019718,17
United States,US,USA,yesline_d_badder,2.428571429,0.415553196,14
Ukraine,UA,UKR,yesline_d_bad,2,0.298142397,10
Turkey,TR,TUR,yesline_c_badder,1.583333333,0.2599048,12
Canada,CA,CAN,new_maybe_5_bad,2.083333333,0.434468211,12
Israel,IL,ISR,noline_d,3.888888889,0.454741821,9
United States,US,USA,yesline_b,2.8,0.392792202,15
India,IN,IND,yesline_c_badder,2.3,0.366666667,10
Spain,ES,ESP,new_yes_9,2.6,0.434248119,15
Ukraine,UA,UKR,yesline_b_bad,2.333333333,0.5,9
United Kingdom,GB,GBR,noline_c,3.555555556,0.529966223,9
Ukraine,UA,UKR,new_yes_10mod,1.466666667,0.215288658,15
United Kingdom,GB,GBR,new_maybe_1,3.5,0.58214164,10
United States,US,USA,yesline_d,1.866666667,0.236374736,15
Ukraine,UA,UKR,new_maybe_4_bad,2.333333333,0.471404521,9
Ukraine,UA,UKR,new_maybe_1,3.318181818,0.368607792,22
India,IN,IND,maybe_4,2.615384615,0.349696967,13
India,IN,IND,maybe_5,3.428571429,0.571428571,7
United States,US,USA,noline_d,3.222222222,0.383955638,18
Ukraine,UA,UKR,new_maybe_3,3,0.447213595,11
Ukraine,UA,UKR,new_no_3,4.5,0.358870281,12
Turkey,TR,TUR,yesline_b_bad,1.916666667,0.312815497,12
United Kingdom,GB,GBR,maybe_5,4.5,0.268741925,10
Israel,IL,ISR,new_yes_10mod,1.833333333,0.405143696,12
Israel,IL,ISR,new_yes_9,3.5,0.268741925,10
United Kingdom,GB,GBR,new_yes_9,3.6,0.455652332,15
United States,US,USA,new_no_3,4.285714286,0.304338075,14
Ukraine,UA,UKR,new_maybe_5_bad,2,0.516397779,6
Spain,ES,ESP,new_maybe_5,2.25,0.411877236,8
United States,US,USA,new_maybe_1,2.8,0.449338138,15
Spain,ES,ESP,yesline_b_badder,2.642857143,0.372209661,14
Canada,CA,CAN,yesline_d_badder,2.6,0.498887652,10
India,IN,IND,noline_d,4.2,0.2,5
United States,US,USA,noline_a,3.210526316,0.338373711,19
United Kingdom,GB,GBR,noline_a,3.933333333,0.396011865,15
Spain,ES,ESP,noline_d,3.181818182,0.463547229,11
Turkey,TR,TUR,maybe_4,2.111111111,0.484322105,9
Ukraine,UA,UKR,maybe_6,3.909090909,0.456360014,11
Spain,ES,ESP,yesline_d,2.230769231,0.410656856,13
Ukraine,UA,UKR,noline_d,4.333333333,0.288675135,9
United States,US,USA,new_maybe_4_bad,2.461538462,0.41779925,13
Spain,ES,ESP,yesline_d_bad,2.461538462,0.402163773,13
United Kingdom,GB,GBR,new_maybe_4_bad,2.6,0.520683312,10
Israel,IL,ISR,new_yes_7,1.666666667,0.471404521,9
India,IN,IND,noline_c,2.8,0.8,5
Turkey,TR,TUR,new_maybe_2,3.222222222,0.547158767,9
Spain,ES,ESP,maybe_6,4,0.302765035,16
United Kingdom,GB,GBR,new_yes_7,1.5,0.267261242,8
Spain,ES,ESP,new_yes_10mod,1.5,0.194624736,12
United States,US,USA,new_yes_10mod,2,0.440958552,9
United States,US,USA,yesline_c_bad,2.636363636,0.526959154,11
India,IN,IND,new_yes_9esque,3.363636364,0.491245676,11
United Kingdom,GB,GBR,new_yes_9esque,3.636363636,0.452723622,11
Israel,IL,ISR,new_no_3,3.363636364,0.432176885,11
Turkey,TR,TUR,new_maybe_3_badder,1.3,0.213437475,10
Canada,CA,CAN,yesline_b_bad,2.692307692,0.511215437,13
United States,US,USA,yesline_f,4,0.389249472,12
Ukraine,UA,UKR,yesline_f,4.555555556,0.231818926,18
Spain,ES,ESP,yesline_c_badder,2.142857143,0.375882008,14
Israel,IL,ISR,new_maybe_6,2.5,0.562731434,10
United Kingdom,GB,GBR,new_maybe_6,2.9,0.525991128,10
India,IN,IND,new_no_2,3.75,0.64779847,8
Ukraine,UA,UKR,new_no_2,4.333333333,0.440958552,9
United Kingdom,GB,GBR,noline_b,4,0.471404521,10
United Kingdom,GB,GBR,yesline_d_bad,2.933333333,0.315725418,15
Turkey,TR,TUR,noline_d,3.571428571,0.441205712,14
Canada,CA,CAN,yesline_d_bad,3.375,0.564974715,8
United States,US,USA,maybe_4,3.272727273,0.487869377,11
Spain,ES,ESP,new_maybe_3_bad,2.166666667,0.271163072,18
Canada,CA,CAN,new_maybe_3,2.875,0.301039864,16
Canada,CA,CAN,yesline_c_badder,2.5,0.56694671,8
Spain,ES,ESP,new_yes_9esque,2.8,0.512076383,10
Ukraine,UA,UKR,yesline_e,1.181818182,0.181818182,11
United Kingdom,GB,GBR,yesline_c,3.5,0.514928651,12
United Kingdom,GB,GBR,new_maybe_2,4.181818182,0.40041301,11
United Kingdom,GB,GBR,new_no_1,3.545454545,0.511035248,11
Canada,CA,CAN,noline_a,3.8,0.611010093,10
India,IN,IND,yesline_d,3.625,0.460492749,8
Israel,IL,ISR,new_maybe_5_bad,1.545454545,0.365902033,11
Israel,IL,ISR,noline_a,3.166666667,0.542627353,6
United Kingdom,GB,GBR,yesline_f,3.555555556,0.647883544,9
United Kingdom,GB,GBR,yesline_c_badder,2.4,0.476095229,10
India,IN,IND,new_maybe_6,2.833333333,0.440958552,12
Turkey,TR,TUR,new_yes_10mod,1,0,6
Israel,IL,ISR,new_maybe_3_badder,2.666666667,0.5,9
Canada,CA,CAN,yesline_d,3.8,0.583095189,5
Ukraine,UA,UKR,noline_b,4.333333333,0.255654996,18
United States,US,USA,new_yes_9esque,2.75,0.462617716,12
Spain,ES,ESP,maybe_4,4.071428571,0.266525996,14
Canada,CA,CAN,noline_b,4.384615385,0.416617354,13
Turkey,TR,TUR,new_maybe_4,3,0.487950036,7
United States,US,USA,new_maybe_3_bad,3.307692308,0.429439339,13
India,IN,IND,new_yes_10,2.333333333,0.494413232,6
Turkey,TR,TUR,new_maybe_1,2.285714286,0.384144138,14
Israel,IL,ISR,new_maybe_3,2.166666667,0.477260702,6
Turkey,TR,TUR,new_no_2,3.75,0.494285527,12
Canada,CA,CAN,new_no_2,4.769230769,0.166172838,13
Spain,ES,ESP,yesline_b,4.176470588,0.287423828,17
Turkey,TR,TUR,yesline_d_badder,1.363636364,0.203278907,11
Turkey,TR,TUR,new_yes_10,1,0,10
Ukraine,UA,UKR,new_yes_9,2.75,0.619619699,8
Spain,ES,ESP,new_maybe_3,2.666666667,0.440958552,9
United Kingdom,GB,GBR,yesline_b,4.444444444,0.444444444,9
Spain,ES,ESP,yesline_b_bad,3.090909091,0.435984684,11
India,IN,IND,yesline_b,3,0.534522484,7
Israel,IL,ISR,noline_b,4.071428571,0.339104926,14
Israel,IL,ISR,yesline_c_badder,2.466666667,0.321701824,15
Turkey,TR,TUR,noline_b,4.1,0.458257569,10
Israel,IL,ISR,new_yes_8,1.166666667,0.166666667,6
United States,US,USA,new_yes_10_bad,1.928571429,0.322495178,14
Israel,IL,ISR,new_yes_7esque,2.444444444,0.555555556,9
Spain,ES,ESP,new_maybe_5_bad,1.125,0.125,8
India,IN,IND,new_maybe_3_badder,1.875,0.515388203,8
Turkey,TR,TUR,yesline_b,3,0.836660027,5
Canada,CA,CAN,new_yes_8,2.461538462,0.368910117,13
Ukraine,UA,UKR,maybe_4,2.857142857,0.704697552,7
Israel,IL,ISR,yesline_d,2.866666667,0.376280881,15
Turkey,TR,TUR,yesline_c_bad,2.5,0.56694671,8
Turkey,TR,TUR,noline_a,4,0.534522484,8