preferred_label,map,condition,pilot,cogsci 26,cogsci 23
new_yes_10mod_1cut,10esque,1cut,new_yes_10mod,new_yes_10mod_1cut,New Yes 10
new_yes_7esque_1cut,7esque,1cut,new_yes_7esque,new_yes_7esque_1cut,New Yes 7
new_yes_9esque_1cut,9esque,1cut,new_yes_9esque,new_yes_9esque_1cut,New Yes 9
maybe_4_1cut,maybe_4,1cut,maybe_4,maybe_4_1cut,Maybe 1
maybe_5_1cut,maybe_5,1cut,maybe_5,maybe_5_1cut,Maybe 2
maybe_6_1cut,maybe_6,1cut,maybe_6,maybe_6_1cut,Maybe 3
new_maybe_1_1cut,new_maybe_1,1cut,new_maybe_1,new_maybe_1_1cut,New Maybe 1
new_maybe_2_1cut,new_maybe_2,1cut,new_maybe_2,new_maybe_2_1cut,New Maybe 2
new_maybe_3_1cut,new_maybe_3,1cut,new_maybe_3,new_maybe_3_1cut,New Maybe 3
new_maybe_4_1cut,new_maybe_4,1cut,new_maybe_4,new_maybe_4_1cut,New Maybe 4
new_maybe_5_1cut,new_maybe_5,1cut,new_maybe_5,new_maybe_5_1cut,New Maybe 5
new_maybe_6_1cut,new_maybe_6,1cut,new_maybe_6,new_maybe_6_1cut,New Maybe 6
new_no_1_1cut,no_line_1,1cut,new_no_1,new_no_1_1cut,No 1
new_no_2_1cut,no_line_2,1cut,new_no_2,new_no_2_1cut,No 2
new_no_3_1cut,no_line_3,1cut,new_no_3,new_no_3_1cut,No 3
noline_A_1cut,no_line_A,1cut,noline_a,noline_A_1cut,No A
noline_B_1cut,no_line_B,1cut,noline_b,noline_B_1cut,No B
noline_C_1cut,no_line_C,1cut,noline_c,noline_C_1cut,No C
noline_D_1cut,no_line_D,1cut,noline_d,noline_D_1cut,No D
new_yes_10_1cut,yes_line_10,1cut,new_yes_10,new_yes_10_1cut,Yes 4
new_yes_7_1cut,yes_line_7,1cut,new_yes_7,new_yes_7_1cut,Yes 1
new_yes_8_1cut,yes_line_8,1cut,new_yes_8,new_yes_8_1cut,Yes 2
new_yes_9_1cut,yes_line_9,1cut,new_yes_9,new_yes_9_1cut,Yes 3
yesline_B_1cut,yes_line_B,1cut,yesline_b,yesline_B_1cut,Yes B
yesline_C_1cut,yes_line_C,1cut,yesline_c,yesline_C_1cut,Yes C
yesline_D_1cut,yes_line_D,1cut,yesline_d,yesline_D_1cut,Yes D
yesline_E_1cut,yes_line_E,1cut,yesline_e,yesline_E_1cut,Yes E
yesline_F_1cut,yes_line_F,1cut,yesline_f,yesline_F_1cut,Yes F
new_maybe_3_bad,new_maybe_3,1cut_bad,new_maybe_3_bad,new_maybe_3_bad,Maybe 3 Bad
new_maybe_4_bad,new_maybe_4,1cut_bad,new_maybe_4_bad,new_maybe_4_bad,Maybe 4 Bad
new_maybe_5_bad,new_maybe_5,1cut_bad,new_maybe_5_bad,new_maybe_5_bad,Maybe 5 Bad
new_yes_10_bad,yes_line_10,1cut_bad,new_yes_10_bad,new_yes_10_bad,Yes 10 Bad
yesline_B_bad,yes_line_B,1cut_bad,yesline_b_bad,yesline_B_bad,Yes B Bad
yesline_C_bad,yes_line_C,1cut_bad,yesline_c_bad,yesline_C_bad,Yes C Bad
yesline_D_bad,yes_line_D,1cut_bad,yesline_d_bad,yesline_D_bad,Yes D Bad
new_maybe_3_badder,new_maybe_3,1cut_badder,new_maybe_3_badder,new_maybe_3_badder,Maybe 3 Badder
yesline_B_badder,yes_line_B,1cut_badder,yesline_b_badder,yesline_B_badder,Yes B Badder
yesline_C_badder,yes_line_C,1cut_badder,yesline_c_badder,yesline_C_badder,Yes C Badder
yesline_D_badder,yes_line_D,1cut_badder,yesline_d_badder,yesline_D_badder,Yes D Badder