run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,14,14,14,14,16,17,22,21,no_line_A,201235,0.0001,1000,8,314.238740959,2.1904761904761907,1.0,0.0,-0.47619047619047616,-0.09090909090909083
2,14,14,14,16,16,22,18,27,no_line_A,201236,0.0001,1000,8,164.399549292,1.9761904761904763,1.0,0.0,-0.35714285714285715,-0.060726950354609954
3,14,14,14,14,16,19,29,29,no_line_A,201237,0.0001,1000,8,108.471281875,1.7857142857142858,0.0,0.0,-0.30952380952380953,-0.022231543624161132
4,14,14,14,16,16,17,21,21,no_line_A,201238,0.0001,1000,8,109.440283292,2.1666666666666665,0.0,0.0,-0.5,-0.10009398496240607
5,14,14,14,14,16,17,22,27,no_line_A,201239,0.0001,1000,8,86.815155667,2.0476190476190474,0.0,0.0,-0.35714285714285715,-0.05887681159420288
6,14,14,14,14,16,17,20,24,no_line_A,201240,0.0001,1000,8,40.953188125,2.1666666666666665,0.0,0.0,-0.42857142857142855,-0.0831766917293233
7,14,14,14,14,16,17,24,25,no_line_A,201241,0.0001,1000,8,88.713863666,2.0476190476190474,0.0,0.0,-0.40476190476190477,-0.0625
8,14,14,14,14,17,17,22,21,no_line_A,201242,0.0001,1000,8,21.765750459,2.1666666666666665,1.0,0.0,-0.47619047619047616,-0.09069548872180455
9,14,14,14,15,16,16,20,25,no_line_A,201243,0.0001,1000,8,106.57661975,2.142857142857143,0.0,0.0,-0.40476190476190477,-0.08115671641791056
10,14,14,14,15,18,17,24,23,no_line_A,201244,0.0001,1000,8,105.284748917,2.0238095238095237,2.0,0.0,-0.42857142857142855,-0.07149280575539563
11,14,14,14,14,16,17,23,23,no_line_A,201245,0.0001,1000,8,18.07555825,2.119047619047619,0.0,0.0,-0.4523809523809524,-0.07731481481481484
12,14,14,14,15,16,23,21,19,no_line_A,201246,0.0001,1000,8,122.508911125,2.0952380952380953,2.0,0.0,-0.4523809523809524,-0.08272058823529416
13,14,14,14,15,15,17,18,21,no_line_A,201247,0.0001,1000,8,90.152048458,2.2857142857142856,0.0,0.0,-0.5,-0.111328125
14,14,14,14,14,16,17,28,23,no_line_A,201248,0.0001,1000,8,21.425604041,2.0,1.0,0.0,-0.3333333333333333,-0.050000000000000044
15,14,14,14,14,16,17,22,23,no_line_A,201249,0.0001,1000,8,26.990243125,2.142857142857143,0.0,0.0,-0.4523809523809524,-0.08115671641791056
16,14,14,14,14,16,17,20,22,no_line_A,201250,0.0001,1000,8,52.017805334,2.2142857142857144,0.0,0.0,-0.47619047619047616,-0.09494274809160297
17,14,14,14,16,16,21,18,23,no_line_A,201251,0.0001,1000,8,61.627941083,2.0952380952380953,1.0,0.0,-0.4523809523809524,-0.08639705882352944
18,14,14,14,14,16,17,22,22,no_line_A,201252,0.0001,1000,8,22.328896125,2.1666666666666665,0.0,0.0,-0.47619047619047616,-0.08693609022556381
19,14,14,14,15,15,17,22,25,no_line_A,201253,0.0001,1000,8,43.726915167,2.0952380952380953,0.0,0.0,-0.40476190476190477,-0.07169117647058831
20,14,14,14,14,16,17,20,27,no_line_A,201254,0.0001,1000,8,29.856091084,2.0952380952380953,0.0,0.0,-0.35714285714285715,-0.06617647058823528
21,14,14,14,15,15,17,20,21,no_line_A,201255,0.0001,1000,8,71.210756417,2.238095238095238,0.0,0.0,-0.5,-0.10288461538461546
22,14,14,14,15,16,16,24,25,no_line_A,201256,0.0001,1000,8,57.726257625,2.0476190476190474,0.0,0.0,-0.40476190476190477,-0.06612318840579712
23,14,14,14,14,16,17,23,21,no_line_A,201257,0.0001,1000,8,45.960678416,2.1666666666666665,1.0,0.0,-0.4523809523809524,-0.08505639097744355
24,14,14,14,14,16,18,20,23,no_line_A,201258,0.0001,1000,8,28.890408625,2.1666666666666665,0.0,0.0,-0.4523809523809524,-0.08693609022556381
25,14,14,14,15,15,17,22,25,no_line_A,201259,0.0001,1000,8,33.311375375,2.0952380952380953,0.0,0.0,-0.40476190476190477,-0.07169117647058831
26,14,14,14,16,16,17,27,23,no_line_A,201260,0.0001,1000,8,90.018712042,1.9761904761904763,1.0,0.0,-0.35714285714285715,-0.05895390070921991
27,14,14,14,14,16,17,21,22,no_line_A,201261,0.0001,1000,8,15.0986225,2.1904761904761907,0.0,0.0,-0.47619047619047616,-0.09090909090909083
28,14,14,14,14,16,17,24,21,no_line_A,201262,0.0001,1000,8,75.380607041,2.142857142857143,1.0,0.0,-0.42857142857142855,-0.07929104477611948
29,14,14,14,14,16,17,25,27,no_line_A,201263,0.0001,1000,8,37.309814667,1.9761904761904763,0.0,0.0,-0.35714285714285715,-0.04831560283687941
30,14,14,14,14,17,17,22,23,no_line_A,201264,0.0001,1000,8,35.375209166,2.119047619047619,0.0,0.0,-0.4523809523809524,-0.0810185185185186
31,14,14,14,16,16,18,18,21,no_line_A,201265,0.0001,1000,8,55.261822417,2.2142857142857144,0.0,0.0,-0.5,-0.11020992366412208
32,14,14,14,15,15,17,20,21,no_line_A,201266,0.0001,1000,8,27.46521325,2.238095238095238,0.0,0.0,-0.5,-0.10288461538461546
33,14,14,14,15,16,17,21,23,no_line_A,201267,0.0001,1000,8,20.702059416,2.142857142857143,0.0,0.0,-0.4523809523809524,-0.08675373134328357
34,14,14,14,15,16,19,17,23,no_line_A,201268,0.0001,1000,8,94.443307125,2.1904761904761907,1.0,0.0,-0.4523809523809524,-0.09469696969696972
35,14,14,14,14,16,19,21,21,no_line_A,201269,0.0001,1000,8,23.435212583,2.1666666666666665,0.0,0.0,-0.5,-0.09257518796992481
36,14,14,14,15,16,17,28,18,no_line_A,201270,0.0001,1000,8,41.863110709,2.0952380952380953,1.0,0.0,-0.3333333333333333,-0.06985294117647056
37,14,14,14,15,15,17,34,21,no_line_A,201271,0.0001,1000,8,23.78537825,1.9047619047619047,1.0,0.0,-0.19047619047619047,-0.02777777777777768
38,14,14,14,15,15,17,24,21,no_line_A,201272,0.0001,1000,8,45.436195916,2.142857142857143,1.0,0.0,-0.42857142857142855,-0.08115671641791056
39,14,14,14,14,16,17,22,23,no_line_A,201273,0.0001,1000,8,22.106416292,2.142857142857143,0.0,0.0,-0.4523809523809524,-0.08115671641791056
40,14,14,14,14,16,17,30,22,no_line_A,201274,0.0001,1000,8,36.712525375,1.9761904761904763,1.0,0.0,-0.2857142857142857,-0.042996453900709275
41,14,14,14,15,16,19,17,21,no_line_A,201275,0.0001,1000,8,28.350285709,2.238095238095238,1.0,0.0,-0.5,-0.1067307692307693
42,14,14,14,17,15,17,21,23,no_line_A,201276,0.0001,1000,8,90.137217083,2.119047619047619,1.0,0.0,-0.4523809523809524,-0.08657407407407414
43,14,14,14,15,15,17,18,21,no_line_A,201277,0.0001,1000,8,8.5587995,2.2857142857142856,0.0,0.0,-0.5,-0.111328125
44,14,14,14,14,16,17,20,24,no_line_A,201278,0.0001,1000,8,19.984332625,2.1666666666666665,0.0,0.0,-0.42857142857142855,-0.0831766917293233
45,14,14,14,14,17,17,20,23,no_line_A,201279,0.0001,1000,8,15.959688917,2.1666666666666665,0.0,0.0,-0.4523809523809524,-0.08881578947368429
46,14,14,14,15,16,16,18,21,no_line_A,201280,0.0001,1000,8,35.245082542,2.2857142857142856,0.0,0.0,-0.5,-0.11328125
47,14,14,14,14,16,17,20,22,no_line_A,201281,0.0001,1000,8,17.468699084,2.2142857142857144,0.0,0.0,-0.47619047619047616,-0.09494274809160297
48,14,14,14,15,16,17,20,22,no_line_A,201282,0.0001,1000,8,11.61269725,2.1904761904761907,0.0,0.0,-0.47619047619047616,-0.09659090909090917
49,14,14,14,14,16,17,20,23,no_line_A,201283,0.0001,1000,8,14.425346875,2.1904761904761907,0.0,0.0,-0.4523809523809524,-0.0890151515151516
50,14,14,14,15,15,17,22,25,no_line_A,201284,0.0001,1000,8,32.02319075,2.0952380952380953,0.0,0.0,-0.40476190476190477,-0.07169117647058831
